Date,Adj Close,Volume,2-days Net change,5day-moving average,5day- standard deviation,10-day moving average,10day- standard deviation,30-day moving average,30day- standard deviation,^VIX,^TNX
2005/6/30,1191.329956,2109490000,-8.52002,1195.001953,5.255890518,1203.628967,10.69254406,1185.516191,19.89064735,12.04,3.945
2005/7/1,1194.439941,1593820000,3.109985,1195.575952,4.934251507,1201.376965,9.916216587,1186.205991,19.58157412,11.4,4.049
2005/7/5,1204.98999,1805820000,10.550049,1198.435962,5.505453647,1200.265967,8.621200515,1187.263391,19.12554812,11.68,4.099
2005/7/6,1194.939941,1883470000,-10.050049,1197.109961,5.358381067,1198.398962,7.336155156,1187.92019,18.80496333,12.27,4.075
2005/7/7,1197.869995,1952440000,2.930054,1196.713965,5.175299372,1196.797961,4.936908956,1188.840991,18.11629413,12.49,4.031
2005/7/8,1211.859985,1900810000,13.98999,1200.81997,7.470824278,1197.910962,6.818061946,1189.950591,17.78350728,11.45,4.109
2005/7/11,1219.439941,1846300000,7.579956,1205.81997,10.05300193,1200.697961,9.213447453,1191.47499,16.94293225,11.28,4.102
2005/7/12,1222.209961,1932010000,2.77002,1209.263965,12.37829588,1203.849963,10.68354408,1192.78219,16.73709858,10.95,4.141
2005/7/13,1223.290039,1812500000,1.080078,1214.933984,10.53205032,1206.021973,12.26007455,1194.00479,16.68719896,10.84,4.163
2005/7/14,1226.5,2048710000,3.209961,1220.659985,5.530684682,1208.686975,13.59337479,1195.311389,16.62130789,10.81,4.18
2005/7/15,1227.920044,1716400000,1.420044,1223.871997,3.392537526,1212.345984,13.32407983,1196.35679,16.99894229,10.33,4.175
2005/7/18,1221.130005,1582100000,-6.790039,1224.21001,2.887099753,1215.01499,11.94001975,1197.32679,17.00116732,10.77,4.223
2005/7/19,1229.349976,2041280000,8.219971,1225.638013,3.375073126,1217.450989,12.15056901,1198.48679,17.17042691,10.45,4.189
2005/7/20,1235.199951,2063340000,5.849975,1228.019995,5.077227463,1221.47699,10.40789497,1199.613989,17.69623738,10.23,4.177
2005/7/21,1227.040039,2129840000,-8.159912,1228.128003,5.042433816,1224.393994,6.355108811,1200.830391,17.44245945,10.97,4.282
2005/7/22,1233.680054,1766990000,6.640015,1229.280005,5.609167395,1226.576001,5.217541516,1202.081792,17.51106228,10.52,4.223
2005/7/25,1229.030029,1717580000,-4.650025,1230.86001,3.428153571,1227.53501,4.605631547,1203.475193,16.79966241,11.1,4.247
2005/7/26,1231.160034,1934180000,2.130005,1231.222021,3.322781142,1228.430017,4.316388055,1205.017393,15.67129886,10.99,4.239
2005/7/27,1236.790039,1945800000,5.630005,1231.540039,3.835254822,1229.780017,4.629932132,1206.439394,15.25005114,10.36,4.261
2005/7/28,1243.719971,2001680000,6.929932,1234.876025,5.729167379,1231.502014,6.20785798,1207.837793,15.40101874,10.52,4.196
2005/7/29,1234.180054,1789600000,-9.539917,1234.976025,5.707395729,1232.128015,6.121547739,1208.810193,15.50030727,11.57,4.286
2005/8/1,1235.349976,1716870000,1.169922,1236.240015,4.666210557,1233.550012,4.789620328,1209.695593,15.72955028,12.08,4.319
2005/8/2,1244.119995,2043120000,8.770019,1238.832007,4.73787529,1235.027014,5.565100071,1210.792393,16.18238812,11.75,4.336
2005/8/3,1245.040039,1999980000,0.920044,1240.482007,5.257075638,1236.011023,6.405562466,1211.815994,16.69988482,11.83,4.3
2005/8/4,1235.859985,1981220000,-9.180054,1238.91001,5.221833432,1236.893018,5.58814408,1212.651794,16.83878217,12.52,4.319
2005/8/5,1226.420044,1930280000,-9.439941,1237.358008,7.593638627,1236.167017,6.456137947,1213.379995,16.62557972,12.48,4.392
2005/8/8,1223.130005,1804140000,-3.290039,1234.914014,9.989891442,1235.577014,7.383777307,1213.890195,16.52317792,13.21,4.419
2005/8/9,1231.380005,1897520000,8.25,1232.366016,8.580055045,1235.599011,7.369470351,1214.542195,16.55792317,12.4,4.394
2005/8/10,1229.130005,2172320000,-2.25,1229.184009,4.839536067,1234.833008,7.625568997,1215.294795,16.34301779,12.38,4.404
2005/8/11,1237.810059,1941560000,8.680054,1229.574024,5.539945024,1234.242017,7.06899126,1216.006597,16.53584252,12.42,4.334
2005/8/12,1230.390015,1709300000,-7.420044,1230.368018,5.25190642,1233.863013,7.173511267,1216.528596,16.57035164,12.74,4.238
2005/8/15,1233.869995,1562880000,3.47998,1232.516016,3.432769369,1233.715015,7.15466693,1217.285596,16.4786325,12.26,4.27
2005/8/16,1219.339966,1820410000,-14.530029,1230.108008,6.900378289,1231.237012,7.436223326,1217.722195,16.23132323,13.52,4.227
2005/8/17,1220.23999,1859150000,0.900024,1228.330005,8.23218832,1228.757007,6.382122964,1218.181794,15.96323169,13.3,4.273
2005/8/18,1219.02002,1808170000,-1.21997,1224.571997,7.022588232,1227.07301,6.519897883,1218.668794,15.59857092,13.42,4.216
2005/8/19,1219.709961,1558790000,0.689941,1222.435986,6.407892323,1226.402002,6.927138463,1219.044392,15.38739397,13.42,4.211
2005/8/22,1221.72998,1621330000,2.020019,1220.007983,1.06421751,1226.262,7.014216073,1219.516792,15.09130555,13.42,4.219
2005/8/23,1217.589966,1678620000,-4.140014,1219.657983,1.526294248,1224.882996,7.247886389,1219.852192,14.851746,13.34,4.187
2005/8/24,1209.589966,1930800000,-8,1217.527979,4.681344277,1222.928992,8.501274878,1219.965791,14.74868326,14.17,4.179
